,Trade_Date,Initial_Price,Inventory,Total_Pay,Product_Score,Shop_Score,Active_Time_Left,Product_Cost,Target_Price
0,2016/2/25,25,0.103226007,10,0.691877114,1,0.491573159,20,0
1,2016/2/25,13,0.447893526,10,0.315515631,0,0.053362545,10.4,0
2,2016/2/25,14,0.908595503,10,0.686500928,0.438791398,0.574117605,11.2,0
3,2016/2/25,11,0.293614148,10,0.834625672,0.407972823,0.146728575,8.8,0
4,2016/2/25,21,0.287775339,10,0.018288277,1,0.589305537,16.8,0
5,2016/2/25,5,0.130028572,10,0.750144315,0.050054366,0.69975836,4,0
6,2016/2/25,25,0.019366958,10,0.988861089,0.513785896,0.102334429,20,0
7,2016/2/25,13,0.678835533,10,0.748165654,0.161070791,0.414055988,10.4,0
8,2016/2/25,18,0.211628116,10,0.280443992,0.621106873,0.694400158,14.4,0
9,2016/2/25,15,0.265546659,10,0.789279328,0.891407607,0.41417927,12,0
10,2016/2/26,25,0.015821243,28,0.750812103,0.46605596,0.800632673,20,0
11,2016/2/26,13,0.929437234,28,0.725997985,0.865177733,0.232974274,10.4,0
12,2016/2/26,14,0.690896918,28,0.883306091,0.254169624,0.807105196,11.2,0
13,2016/2/26,11,0.99732285,28,0.623672207,0.401623237,0.387860644,8.8,0
14,2016/2/26,21,0.172340508,28,0.750942434,0.25641365,0.863541855,16.8,0
15,2016/2/26,5,0.13713575,28,0.348898342,0.177397179,0.747121643,4,0
16,2016/2/26,25,0.932595463,28,0.269927892,0.264376935,0.556240234,20,0
17,2016/2/26,13,0.696818161,28,0.895886218,0.593667701,0.136455226,10.4,0
18,2016/2/26,18,0.066000173,28,0.42809119,0.041344826,0.05991769,14.4,0
19,2016/2/26,15,0.755463053,28,0.964840047,0.717207849,0.121343456,12,0
20,2016/2/26,24,0.753876188,28,0.663441498,1,0.044551879,19.2,0
21,2016/2/26,6,0.923024536,28,0.62169572,0.97102208,0.107494129,4.8,0
22,2016/2/26,15,0.711524759,28,0.114745973,0.504082224,0.225709339,12,0
23,2016/2/26,15,0.124270962,28,0.949489259,0.156185518,0.71298898,12,0
24,2016/2/26,22,0.019880134,28,0.449912133,0.226420853,0.559716982,17.6,0
25,2016/2/26,11,0.026210987,28,0.578389614,1,0.01255598,8.8,0
26,2016/2/26,16,0.028306488,28,0.408136803,0.625403877,0.07197428,12.8,0
27,2016/2/26,12,0.246211068,28,0.23702698,0.281502177,0.96727633,9.6,0
