,Trade_Date,Initial_Price,Inventory,Total_Pay,Product_Score,Shop_Score,Active_Time_Left,Product_Cost,Target_Price
0,2016-02-25,19,0.6998436141265575,10,0.2846858806413638,0.003617693789096932,0.8704830870014831,15.200000000000001,0.0
1,2016-02-25,15,0.7795145855555298,10,0.2535882057737875,0.49756174470620634,0.9227496139456699,12.0,0.0
2,2016-02-25,29,0.02293309243908148,10,0.3275639476887341,0.4205855264993784,0.0022142125324435824,23.200000000000003,0.0
3,2016-02-25,15,0.577662858129756,10,0.14416430065342045,0.9017358013047476,0.4694883717575773,12.0,0.0
4,2016-02-25,17,0.001642172716045276,10,0.1656128612012676,0.0,0.9814687376060105,13.600000000000001,0.0
5,2016-02-25,24,0.5154726119053935,10,0.9639305290679419,0.2499104811550243,0.3989448039028505,19.200000000000003,0.0
6,2016-02-25,12,0.6397951761308571,10,0.9602267152856938,1.0,0.8137324775869181,9.600000000000001,0.0
7,2016-02-25,14,0.9856244028041888,10,0.18841465559593518,1.0,0.5464564979724778,11.200000000000001,0.0
8,2016-02-25,17,0.25909759641110575,10,0.024306561629486967,0.0,0.7708540871402245,13.600000000000001,0.0
9,2016-02-25,15,0.8024968852628702,10,0.20455554637995066,0.9224237554463892,0.484931074988458,12.0,0.0
10,2016-02-26,17,0.2622732208029519,28,0.21425596288493742,0.35088761676025315,0.560185622302057,13.600000000000001,0.0
11,2016-02-26,15,0.10085859104522166,28,0.2166397127268621,0.0,0.9677189597257391,12.0,0.0
12,2016-02-26,11,0.9171927061604335,28,0.2323071272464986,0.5587061296892344,0.3083843510756832,8.8,0.0
13,2016-02-26,16,0.5174602417688304,28,0.7290856206264126,1.0,0.33888996611535227,12.8,0.0
14,2016-02-26,15,0.13353967592343363,28,0.4159186670147922,0.0,0.7308818114469667,12.0,0.0
15,2016-02-26,14,0.1125431140433566,28,0.5838981780137995,0.1433603597066268,0.7013699059343118,11.200000000000001,0.0
16,2016-02-26,9,0.8416411484140771,28,0.4943366051327067,0.48634282137771073,0.7253489218662519,7.2,0.0
17,2016-02-26,14,0.5460747365304214,28,0.4300468142111865,0.7346576884805094,0.8939427440668857,11.200000000000001,0.0
18,2016-02-26,15,0.26101658314752796,28,0.7347658170361696,1.0,0.7166490873934734,12.0,0.0
19,2016-02-26,13,0.5758255178198639,28,0.5562164868036489,1.0,0.6821527701714027,10.4,0.0
20,2016-02-26,20,0.31385260677792237,28,0.3026306416600065,1.0,0.8431168420521119,16.0,0.0
